sample	id	status
1	14583364613427111975	running
2	400793655419904525	running
3	7691405207819224824	running
4	10868855628095371349	running
5	16812185740509929950	running
6	12133215913989294792	running
7	13352592061464131307	running
8	9833997583238629754	running
9	9471272184748938658	running
10	9137839816637356817	running
11	1967549068444159544	running
12	15460380543241075269	running
13	14403394015801528053	running
14	17001180287069769317	running
15	8703771893867213111	running
16	15659595374904218	running
17	11253214906425128034	running
18	10175306282153311061	running
19	11575457739410931741	running
20	12561261370432545180	running
