sample	id	status
1	3263216522016470368	running
2	4392476580873798100	running
3	14531786184125789922	running
4	10675860028315986576	running
5	15209427464007709663	running
6	2172473584639048683	running
7	14320359797677265337	running
8	10538319096941163361	running
9	11145486133655501083	running
10	2581537928217559172	running
11	17779637558401876529	running
12	8101627333982948277	running
13	12010777522360583889	running
14	12059522176250136049	running
15	11465547940509779207	running
16	6557256589737254475	running
17	4312779109106031668	running
18	313814620506603386	running
19	8951094441539578683	running
20	5090685988368015858	running
