sample	id	status
1	4562484541370419015	running
2	14470567505541031946	running
3	1013832199643068535	running
4	14426754659819569234	running
5	4704439549452440479	running
6	2169196134141117764	running
7	7856252340250067148	running
8	11695887933106687252	running
9	2817433125394427161	running
10	2351979978935109019	running
11	16283595500588557118	running
12	15434976983227797022	running
13	805013273608858951	running
14	12594000006500643869	running
15	1921712138266949925	running
16	819067236997298162	running
17	13181464518917951972	running
18	9636514169977960946	running
19	7216941236529664180	running
20	11095053778831682706	running
