sample	id	status
1	6035472798792609636	running
2	8124866724474006266	running
3	7526185036442600556	running
4	16316129999763118506	running
5	16198521928012403055	running
6	15722876170008825279	running
7	8242224084755050166	running
8	13091888753847651347	running
9	7653304673284796997	running
10	4109414008494039387	running
11	77818807445724007	running
12	9109174433703357728	running
13	1136822892994374455	running
14	8973869389661607224	running
15	5776794115143220331	running
16	17759552314316200981	running
17	6804216604392502140	running
18	17167879326322776420	running
19	9447479244632925439	running
20	2036470600799424041	running
