sample	id	status
1	11959866587752195631	running
2	11337439991891290838	running
3	11489052565870377525	running
4	15401150346721291074	running
5	2983355422598875186	running
6	5215665944044909491	running
7	14972386052686418598	running
8	3110609205619533782	running
9	16770759719232584783	running
10	10138293398155576539	running
11	10721222128549135785	running
12	13245417960648112628	running
13	15125556691064182890	running
14	3625755050293867144	running
15	3056010835348060559	running
16	14806369240245135506	running
17	12507899155139984136	running
18	9607271992222179759	running
19	7243223698086102902	running
20	13197991977982030251	running
