sample	id	status
1	5768438016518279798	running
2	12067932230928176543	running
3	9554537558980763666	running
4	3203258845394200732	running
5	11024257707787382593	running
6	723002668516664494	running
7	2502533711262258846	running
8	16230351426718474779	running
9	8458103190630484274	running
10	18159917229191930434	running
11	14600453283417158165	running
12	14348316254669217751	running
13	15913614390417201747	running
14	1251752411245806212	running
15	644648694132309460	running
16	10816592452123921119	running
17	3405400429408866649	running
18	2016453097194102452	running
19	14066718648183353993	running
20	14605824198217830248	running
