sample	id	status
1	5537642124173486878	running
2	17901278118950277745	running
3	3123565851936480379	running
4	1756261765803445971	running
5	13227577102651808081	running
6	4189763730773406245	running
7	10383384869013982837	running
8	9366063168620739413	running
9	4754867795994726321	running
10	15856042870623126251	running
11	18101980539185055428	running
12	10636356569680858556	running
13	11642568378464356580	running
14	15515267026771304553	running
15	588109618266569387	running
16	16298399394347109344	running
17	14569734799267744006	running
18	14946726667452805879	running
19	9277103665781334627	running
20	11302001453030734700	running
