Time	Platform
4.500000000000007	"GCP
N1
16"
4.3500000000000085	"GCP
N1
16"
4.650000000000006	"GCP
N1
16"
3.883333333333333	"GCP
N1
16"
4.699999999999989	"GCP
N1
16"
4.549999999999997	"GCP
N1
16"
4.299999999999997	"GCP
N1
16"
4.266666666666666	"GCP
N1
16"
3.75	"GCP
N1
16"
4.283333333333331	"GCP
N1
16"
4.566666666666663	"GCP
N1
16"
3.9833333333333343	"GCP
N1
16"
4.349999999999994	"GCP
N1
16"
4.25	"GCP
N1
16"
4.799999999999997	"GCP
N1
16"
3.7666666666666657	"GCP
N1
16"
5.133333333333326	"GCP
N1
16"
4.299999999999983	"GCP
N1
16"
4.299999999999997	"GCP
N1
16"
3.9833333333333343	"GCP
N1
16"
3.8333333333333357	"GCP
N1
32"
4.333333333333336	"GCP
N1
32"
4.616666666666667	"GCP
N1
32"
4.383333333333336	"GCP
N1
32"
4.666666666666664	"GCP
N1
32"
4.566666666666663	"GCP
N1
32"
4.083333333333336	"GCP
N1
32"
4.31666666666667	"GCP
N1
32"
4.86666666666666	"GCP
N1
32"
3.8833333333333293	"GCP
N1
32"
4.783333333333331	"GCP
N1
32"
4.533333333333331	"GCP
N1
32"
4.483333333333334	"GCP
N1
32"
4.333333333333336	"GCP
N1
32"
4.833333333333336	"GCP
N1
32"
5.083333333333336	"GCP
N1
32"
4.533333333333331	"GCP
N1
32"
4.43333333333333	"GCP
N1
32"
4.149999999999999	"GCP
N1
32"
4.350000000000001	"GCP
N1
32"
4.383333333333333	"GCP
N1
64"
4.149999999999999	"GCP
N1
64"
4.050000000000001	"GCP
N1
64"
4.066666666666666	"GCP
N1
64"
3.7833333333333314	"GCP
N1
64"
4.399999999999999	"GCP
N1
64"
3.7166666666666686	"GCP
N1
64"
3.8500000000000014	"GCP
N1
64"
4.366666666666667	"GCP
N1
64"
3.9833333333333307	"GCP
N1
64"
4.333333333333332	"GCP
N1
64"
4.100000000000001	"GCP
N1
64"
4.450000000000003	"GCP
N1
64"
4.416666666666671	"GCP
N1
64"
4.716666666666669	"GCP
N1
64"
4.416666666666671	"GCP
N1
64"
3.0666666666666664	"GCP
N1
64"
4.733333333333338	"GCP
N1
64"
4.316666666666663	"GCP
N1
64"
3.9499999999999957	"GCP
N1
64"
3.6499999999999986	"GCP
N2
16"
4.0	"GCP
N2
16"
3.633333333333333	"GCP
N2
16"
3.9833333333333343	"GCP
N2
16"
3.6499999999999915	"GCP
N2
16"
3.6333333333333258	"GCP
N2
16"
3.983333333333327	"GCP
N2
16"
3.633333333333333	"GCP
N2
16"
4.36666666666666	"GCP
N2
16"
4.466666666666669	"GCP
N2
16"
4.333333333333343	"GCP
N2
16"
3.7666666666666657	"GCP
N2
16"
4.266666666666666	"GCP
N2
16"
4.399999999999999	"GCP
N2
16"
4.216666666666669	"GCP
N2
16"
3.616666666666667	"GCP
N2
16"
3.6666666666666643	"GCP
N2
16"
3.666666666666657	"GCP
N2
16"
3.633333333333333	"GCP
N2
16"
4.566666666666677	"GCP
N2
16"
4.266666666666666	"GCP
N2
32"
4.150000000000006	"GCP
N2
32"
3.81666666666667	"GCP
N2
32"
3.466666666666665	"GCP
N2
32"
4.199999999999996	"GCP
N2
32"
3.5166666666666657	"GCP
N2
32"
3.366666666666667	"GCP
N2
32"
4.200000000000003	"GCP
N2
32"
4.133333333333333	"GCP
N2
32"
4.366666666666667	"GCP
N2
32"
4.199999999999996	"GCP
N2
32"
4.216666666666665	"GCP
N2
32"
4.18333333333333	"GCP
N2
32"
3.7833333333333314	"GCP
N2
32"
3.7166666666666615	"GCP
N2
32"
4.149999999999999	"GCP
N2
32"
4.0	"GCP
N2
32"
4.116666666666667	"GCP
N2
32"
4.283333333333331	"GCP
N2
32"
4.216666666666669	"GCP
N2
32"
3.6833333333333336	"GCP
N2
64"
4.199999999999999	"GCP
N2
64"
4.099999999999998	"GCP
N2
64"
3.383333333333333	"GCP
N2
64"
3.9666666666666686	"GCP
N2
64"
3.3833333333333364	"GCP
N2
64"
3.783333333333335	"GCP
N2
64"
3.6833333333333336	"GCP
N2
64"
4.683333333333334	"GCP
N2
64"
3.6499999999999986	"GCP
N2
64"
4.266666666666666	"GCP
N2
64"
4.199999999999996	"GCP
N2
64"
3.5	"GCP
N2
64"
3.3333333333333357	"GCP
N2
64"
4.099999999999998	"GCP
N2
64"
4.166666666666664	"GCP
N2
64"
3.3500000000000014	"GCP
N2
64"
3.333333333333332	"GCP
N2
64"
3.6833333333333336	"GCP
N2
64"
3.9666666666666615	"GCP
N2
64"
