sample	id	status
1	12732752878201778513	running
2	12894856127911185371	running
3	5117292423253205291	running
4	2554553320938532107	running
5	6643227673104540672	running
6	15598231081635045616	running
7	15315054758929260610	running
8	5985835449495173743	running
9	2799060290358011980	running
10	25469107869550220	running
11	5095914841346153956	running
12	3217257089985294321	running
13	7225120930567762026	running
14	8200986866795124491	running
15	6422330448075722899	running
16	993745792084153622	running
17	15959582933408004331	running
18	11408637024409948300	running
19	5358692097415744431	running
20	10670217900016360785	running
