sample	id	status
1	12804354854844690227	running
2	906945313851044783	running
3	1026244112745089978	running
4	8573894642102182841	running
5	3402176305069391432	running
6	16138883086726274706	running
7	6778744740736494770	running
8	6394185376304838448	running
9	9356351671615755122	running
10	4413560249244139091	running
11	17382765324267574202	running
12	7655978112882085837	running
13	13211307955912344845	running
14	15502334154497407461	running
15	10752931363749515759	running
16	16004342744580147324	running
17	2299169113597472963	running
18	5252735038310779855	running
19	338896850981833335	running
20	3118321121617663288	running
