sample	id
1	994e6732-d7dd-4821-a732-7f533dac1310
2	97ae3346-31b5-4a91-9942-ef395aa4fb6d
3	dca67d08-811d-4079-9450-f69e4c9ef987
4	59a5b8da-cbbd-4421-97cb-7535581893f9
5	f1f0ded5-678e-4821-ae54-b51b3ffe382d
6	9e5662d9-97f2-4af7-b44d-50c714c1cb37
7	9ec6416a-7ce1-4667-8bc9-c568da720a7d
8	ec9d381d-0d8d-4626-b74d-c2182ddd6279
9	9a9dacd8-85f3-4308-9649-add9d0db23fc
10	6b9bd669-94bc-495b-bffe-56b51bf5ef1a
11	b5993464-f8c2-4cba-9d21-52f659d1edbb
12	50370a67-4d23-4fb1-b874-dc862ae970f3
13	656cef5a-de3c-46bc-b13f-2c22df243eda
14	63ceeed2-5dfa-4f86-bf23-fba21a3fa8d4
15	557c468b-3a09-40b0-8d96-868a932dd72f
16	476fb8d3-4d99-469a-982c-dd81807f520d
17	b7dd1f4f-b98c-4b2e-9afe-8a958935036c
18	368ec615-d0c9-4e2c-a97b-4c3d2f147f24
19	55fe3056-c0b4-4ef1-ac21-7c7aa9a65990
20	bde4d851-19a4-4e02-a6ad-f4ae0b0c02b8
