sample	id	status
1	3156399518690920573	running
2	14395866035236142247	running
3	12549713172624905771	running
4	3050716759992618439	running
5	83667691603929077	running
6	4287694256291675467	running
7	18135613267374985548	running
8	4107386115487891083	running
9	17355220079881133433	running
10	8668614357958650129	running
11	10058338570889865871	running
12	3923915757088309200	running
13	14329480714557759373	running
14	1052420269695867384	running
15	7100735520852182486	running
16	7430703536175045633	running
17	7476002766318509706	running
18	5395192600274498652	running
19	636601022054355600	running
20	17394645091224469581	running
