sample	id	status
1	16788750168191290779	running
2	7911376628056232856	running
3	11412933863947722550	running
4	8627418669329497912	running
5	8811945098466959383	running
6	11981533291779502792	running
7	5647938382545876918	running
8	5492935234184264343	running
9	10070968681929309350	running
10	10165202826957432039	running
11	12049818855271316922	running
12	9223595171397280406	running
13	9463682514721742250	running
14	10325653792664590984	running
15	11592620330380921939	running
16	12227603564245011865	running
17	6115971748728263438	running
18	14613650844563957629	running
19	6489139287749840019	running
20	8623447830967670305	running
