sample	id	status
1	7755269778820015815	running
2	7515568852793468861	running
3	7195775532243005050	running
4	9503196594976247488	running
5	10935572944988711639	running
6	422413554990024040	running
7	5046402970619804425	running
8	7804927760650999268	running
9	3064261368190941651	running
10	2489315064297203010	running
11	1906599456432062032	running
12	12945272461400515336	running
13	10996269889863099039	running
14	2056378728270436043	running
15	14888195665743116862	running
16	9301701832712378910	running
17	216089946758775129	running
18	11153066078074019202	running
19	2111177584844106580	running
20	8443515153827187	running
