sample	id
1	93eed737-c0e9-4895-af2d-4e9cdceaa3a9
2	1765c40a-f963-43d0-bf68-0c641c2ea4d0
3	c743dd3e-7757-4319-b366-d8caed08dd5d
4	7e716cae-ffd9-46a4-8493-4bd82c17b996
5	d759793c-be90-45b9-8715-0aacfbb7d2e9
6	8b2d56a7-bf79-49d0-885f-9299e63a5a38
7	c350ecda-5cc1-4651-933e-8bb38dde61b5
8	44c5cfa5-73d3-4365-b5f1-c153449739fa
9	f9b1cd41-2cb5-4310-85b3-4185b72bb8ac
10	9b72b122-2e0a-46f4-9fae-44eb4d28d53d
11	3785e8f8-cb41-49fb-804a-0b37cc465126
12	dccd4732-a5c3-44a6-a84d-a6bbd95d8de6
13	6c1859ae-0a6e-449e-929e-7067175a2ac9
14	66365b42-2596-4228-931b-77acd73743af
15	c0e8fff8-9872-4a31-8a74-90eb30b81e14
16	8a4883c4-34d1-40e3-ba99-594d8f6fb674
17	8c200049-8d5d-48ed-a844-439aa075e2e2
18	d58167d4-0ea0-422b-9fc8-b5b3e403fced
19	6afd8302-ced7-4b19-98ae-41b405c9ea83
20	8868dbbc-0341-4730-8a6a-80927dbd3cb7
