sample	id	status
1	19742386110795605	running
2	7801195900261165334	running
3	1554380332355495184	running
4	11286699018788375551	running
5	5214226353785168044	running
6	1699459466236171212	running
7	8230964254741194701	running
8	10839111301305265790	running
9	14556520275808451382	running
10	12874907414413137409	running
11	13363109913525037778	running
12	10251990092378852272	running
13	11987963645377816150	running
14	17277099351920686820	running
15	5161997332514552191	running
16	11708105128619014565	running
17	5382996138148480783	running
18	13746868652404720359	running
19	4493660122549952804	running
20	5226416956453519066	running
