sample	id
1	309b7bf9-a4e4-4d5f-8ffc-6c5b5026f72e
2	321861d6-a1ce-4d07-ae80-552f1848233b
3	2ee42f96-3937-4458-949c-cfa6b66e43a3
4	6beb7479-b922-4799-99ec-195516e37d4f
5	035baa62-e331-445a-9e2e-97bdd2470c0e
6	0adac5f7-9ef5-412f-a327-9869531c549d
7	d39f0915-ee08-4ada-b3e8-e3352907e1e2
8	68b66e5e-1198-4ab1-9c9d-0a28b547954a
9	6f1348a4-b745-4579-9e42-f7cac3eb3eab
10	9f494865-166a-4664-a9cd-1c6ba6b5d4d7
11	682975fc-5215-4221-b40c-d4911b5d0025
12	d742e81a-936d-4db2-95f2-a9da707fd58f
13	558ec4d5-a174-478c-ab36-4989e6483874
14	418a4fac-4598-4229-a73c-7b6d6f0c2fb5
15	5dab9291-c94d-4568-a895-577ac363782a
16	4b45c613-f80e-4145-99b9-39466a32a655
17	b1d55fc3-5c88-4998-8caa-2d6b71aa12c7
18	c9762e80-94e8-4b24-9525-f1b4bab1a6e9
19	d90e692b-5667-4c79-89a6-d054fc8eaa5b
20	7f8ba378-0c55-43d5-9a73-2868bde18313
