Time	Query
45.05	2000
44.21666666666667	2000
38.983333333333334	2000
40.46666666666667	2000
40.266666666666666	2000
51.85	2000
51.2	2000
44.25	2000
40.0	2000
57.7	2000
34.68333333333333	2000
59.11666666666667	2000
38.166666666666664	2000
43.65	2000
45.7	2000
44.2	2000
38.03333333333333	2000
38.38333333333333	2000
39.13333333333333	2000
41.25	2000
49.666666666666664	2000
33.61666666666667	2000
42.65	2000
39.63333333333333	2000
34.166666666666664	2000
32.81666666666667	2000
40.95	2000
37.93333333333333	2000
47.75	2000
41.416666666666664	2000
58.75	2000
39.583333333333336	2000
48.11666666666667	2000
38.28333333333333	2000
38.4	2000
66.03333333333333	2000
47.35	2000
44.75	2000
41.833333333333336	2000
52.0	2000
40.96666666666667	2000
37.93333333333333	2000
49.516666666666666	2000
50.233333333333334	2000
45.46666666666667	2000
40.233333333333334	2000
46.6	2000
49.266666666666666	2000
45.03333333333333	2000
43.983333333333334	2000
45.28333333333333	2000
37.36666666666667	2000
45.266666666666666	2000
48.46666666666667	2000
38.18333333333333	2000
38.78333333333333	2000
37.75	2000
38.583333333333336	2000
35.88333333333333	2000
40.31666666666667	2000
68.63333333333334	6000
68.7	6000
69.4	6000
67.31666666666666	6000
69.85	6000
68.5	6000
69.2	6000
67.2	6000
71.85	6000
68.53333333333333	6000
71.51666666666667	6000
71.3	6000
70.41666666666667	6000
65.46666666666667	6000
68.43333333333334	6000
69.8	6000
71.1	6000
67.7	6000
69.7	6000
69.26666666666667	6000
109.15	10000
104.68333333333334	10000
103.31666666666666	10000
108.08333333333333	10000
104.41666666666667	10000
107.21666666666667	10000
103.55	10000
104.85	10000
103.91666666666667	10000
106.43333333333334	10000
104.58333333333333	10000
104.85	10000
