Time	Platform
212.02304999999998	"AWS
M5D
16"
245.22186666666667	"AWS
M5D
16"
241.88680000000002	"AWS
M5D
16"
246.1942666666667	"AWS
M5D
16"
200.91366666666667	"AWS
M5D
16"
250.86541666666665	"AWS
M5D
16"
217.06833333333333	"AWS
M5D
16"
236.72695000000002	"AWS
M5D
16"
223.70468333333335	"AWS
M5D
16"
256.99218333333334	"AWS
M5D
16"
246.82646666666668	"AWS
M5D
16"
285.6513833333333	"AWS
M5D
16"
271.36626666666666	"AWS
M5D
16"
218.09685	"AWS
M5D
16"
253.31818333333334	"AWS
M5D
16"
257.48291666666665	"AWS
M5D
16"
242.77435	"AWS
M5D
16"
221.35456666666667	"AWS
M5D
16"
231.78003333333334	"AWS
M5D
16"
172.32186666666666	"AWS
M5D
16"
106.80356666666667	"AWS
M5D
32"
123.10979999999999	"AWS
M5D
32"
124.0253	"AWS
M5D
32"
122.90656666666668	"AWS
M5D
32"
104.94823333333333	"AWS
M5D
32"
128.83936666666668	"AWS
M5D
32"
113.22505	"AWS
M5D
32"
124.05211666666668	"AWS
M5D
32"
110.11531666666666	"AWS
M5D
32"
133.57863333333333	"AWS
M5D
32"
123.26286666666667	"AWS
M5D
32"
143.77523333333332	"AWS
M5D
32"
133.82704999999999	"AWS
M5D
32"
112.50861666666667	"AWS
M5D
32"
125.65321666666667	"AWS
M5D
32"
129.73878333333334	"AWS
M5D
32"
124.08846666666666	"AWS
M5D
32"
110.83823333333333	"AWS
M5D
32"
117.9152	"AWS
M5D
32"
92.30936666666666	"AWS
M5D
32"
73.46424999999999	"AWS
M5D
64"
82.73966666666666	"AWS
M5D
64"
81.81298333333334	"AWS
M5D
64"
81.83338333333333	"AWS
M5D
64"
72.31703333333333	"AWS
M5D
64"
85.3366	"AWS
M5D
64"
78.48646666666667	"AWS
M5D
64"
84.65891666666667	"AWS
M5D
64"
74.31098333333333	"AWS
M5D
64"
88.05526666666667	"AWS
M5D
64"
83.21963333333333	"AWS
M5D
64"
94.95108333333333	"AWS
M5D
64"
87.80046666666667	"AWS
M5D
64"
79.17033333333333	"AWS
M5D
64"
84.90135000000001	"AWS
M5D
64"
84.54661666666667	"AWS
M5D
64"
82.23946666666667	"AWS
M5D
64"
74.77121666666667	"AWS
M5D
64"
79.16306666666667	"AWS
M5D
64"
64.56588333333333	"AWS
M5D
64"
212.39365	"AWS
M5DN
16"
264.30961666666667	"AWS
M5DN
16"
250.4162	"AWS
M5DN
16"
264.40555	"AWS
M5DN
16"
221.46396666666666	"AWS
M5DN
16"
277.52773333333334	"AWS
M5DN
16"
238.12980000000002	"AWS
M5DN
16"
256.5330666666667	"AWS
M5DN
16"
241.36831666666666	"AWS
M5DN
16"
282.61178333333334	"AWS
M5DN
16"
261.50671666666665	"AWS
M5DN
16"
298.9230166666667	"AWS
M5DN
16"
291.6332333333333	"AWS
M5DN
16"
236.06768333333332	"AWS
M5DN
16"
268.0128666666667	"AWS
M5DN
16"
274.9293333333333	"AWS
M5DN
16"
261.2689666666667	"AWS
M5DN
16"
238.478	"AWS
M5DN
16"
249.12166666666664	"AWS
M5DN
16"
188.74981666666665	"AWS
M5DN
16"
106.60825	"AWS
M5DN
32"
122.30031666666667	"AWS
M5DN
32"
123.54998333333333	"AWS
M5DN
32"
122.81563333333334	"AWS
M5DN
32"
104.8993	"AWS
M5DN
32"
128.06458333333333	"AWS
M5DN
32"
113.46225	"AWS
M5DN
32"
123.63145	"AWS
M5DN
32"
109.50273333333332	"AWS
M5DN
32"
134.12951666666666	"AWS
M5DN
32"
123.59028333333335	"AWS
M5DN
32"
144.39128333333335	"AWS
M5DN
32"
134.17413333333334	"AWS
M5DN
32"
112.9544	"AWS
M5DN
32"
126.00906666666667	"AWS
M5DN
32"
129.40435	"AWS
M5DN
32"
123.98281666666666	"AWS
M5DN
32"
111.08473333333333	"AWS
M5DN
32"
118.32719999999999	"AWS
M5DN
32"
92.52556666666666	"AWS
M5DN
32"
73.40668333333333	"AWS
M5DN
64"
82.07455	"AWS
M5DN
64"
81.9565	"AWS
M5DN
64"
81.34134999999999	"AWS
M5DN
64"
72.11456666666666	"AWS
M5DN
64"
85.34521666666666	"AWS
M5DN
64"
77.70956666666666	"AWS
M5DN
64"
84.63380000000001	"AWS
M5DN
64"
74.78823333333334	"AWS
M5DN
64"
87.63258333333333	"AWS
M5DN
64"
82.34563333333334	"AWS
M5DN
64"
94.6945	"AWS
M5DN
64"
87.64491666666666	"AWS
M5DN
64"
78.34741666666667	"AWS
M5DN
64"
84.02408333333332	"AWS
M5DN
64"
84.95311666666666	"AWS
M5DN
64"
80.95218333333334	"AWS
M5DN
64"
73.56915000000001	"AWS
M5DN
64"
79.88308333333333	"AWS
M5DN
64"
63.583283333333334	"AWS
M5DN
64"
