sample	id	status
1	2734817752489256127	running
2	11831849269055976257	running
3	4239833746074504704	running
4	10488974572349266766	running
5	4730142091911876316	running
6	8459976288410902741	running
7	16016680791369236026	running
8	5227670786341391969	running
9	3719377587533019438	running
10	15518936019538180747	running
11	6529646727998457283	running
12	14418419711407409943	running
13	15728726765681325257	running
14	9649151892572865603	running
15	9020154094474370169	running
16	3431371538533803867	running
17	2043957238871505352	running
18	8338297144561084885	running
19	7567581874441569395	running
20	13913704444190422980	running
