sample	id	status
1	15114939578590545325	running
2	15677796716236275503	running
3	9845264535305995449	running
4	608667411431260006	running
5	5982358211599908279	running
6	2200373720668449797	running
7	2176992476140462386	running
8	2704722450573893305	running
9	9114390229747228964	running
10	13145626529990589576	running
11	12903539822066697801	running
12	18369056975470286263	running
13	17594757597903516982	running
14	9837506087197390368	running
15	14839059474554276117	running
16	7304457575831469163	running
17	834369180386036104	running
18	8984093626320981031	running
19	1283482863448189338	running
20	7899749443363327467	running
