sample	id	status
1	8234699311558093569	running
2	82750050348295419	running
3	6010377673645423762	running
4	17791044188737864182	running
5	17882858230321687364	running
6	16004849751977669142	running
7	10716485259627563963	running
8	15513981833507778214	running
9	978243343120212719	running
10	14261043893666474982	running
11	16508980542294833347	running
12	15130016417520353280	running
13	12602470051784002931	running
14	15010299097418203723	running
15	5608227680394733340	running
16	194365331660471088	running
17	5960850903520058588	running
18	12279480361951530594	running
19	12006884386506692082	running
20	8571670402022291448	running
