sample	id	status
1	14890969989644540274	running
2	4921794376697803925	running
3	17781805269368164106	running
4	4427363761314992473	running
5	14989186235012384611	running
6	5040678829041065941	running
7	863020872922131335	running
8	3061126929282031431	running
9	13945977972843031199	running
10	9507737859886365518	running
11	18427707137403327557	running
12	8352886878128281276	running
13	11639963416756907890	running
14	5868966617250616660	running
15	18006072361411790615	running
16	8100649779212324951	running
17	13930745619026383571	running
18	7541618545975666841	running
19	17628629509129447870	running
20	7336480125259326060	running
